Plant,Good Companions,Bad Companions,Notes
Apple,Marigolds Garlic Lemon Balm Chives Leeks Nasturtium Clover Daffodils Comfrey,Grass Potato Walnut,Marigolds repel many harmful insects. The allium family of plants (garlic onion shallots etc) repels fruit tree borers. Lemon balm attracts bees to help pollinate the apple blossoms. Both grass and potatoes will compete with the apple tree for the same nutrients.
Apricot,Basil Nasturtiums Sunflower,Grass Tomato Peppers,Apricots are threatened by many insects which are repelled by the companion plants. These plants also attract the bees needed for pollination. Apricots are extremely sensitive to a fungus that often affects peppers.
Aspargus,Basil Parsley Tomato Dill Coriander Comfrey Nasturtiums,Onion Potato Gladiolas Garlic,The combination of asparagus and basil may attract beneficial lady bugs to your garden. Alliums (onion garlic etc) and potatoes are strong competitors for the same nutrients.
Basil,Chamomile Anise Tomato Pepper Oregano Asparagus Grape Vine Petunias,Rue,Basil is a great companion for many plants. It repels mosquitoes flies and other garden pests. Chamomile and anise help increase the flavor of basil.
Beans,Beets Cucumbers Carrots Lettuce Okra Potato Spinach Dill Cabbage Chard Eggplant Peas Broccoli Cauliflower Corn Grape Vine Savory Borage Marigold Radish Mint Rosemary Onion Squash,Tomatoes Peppers Alliums,Beans add nitrogen to the soil making it beneficial for many plants but harmful to the ones that don’t need too much nitrogen.
Broad Beans,Cabbage Corn Lettuce,Garlic Onion Chive Shallot Fennel Sunflowers
Bush Beans,Celery Strawberry Cucumber Soybeans Grains Beets Cabbage Carrot Cauliflower Corn Marigolds Potato Savory,Soybean Alfalfa Fennel Garlic Leeks Onion Shallot
Climbing Beans,Cabbage Corn Radish Marigold Potato,Beet Sunflower Fennel Broccoli Cauliflower Kohlrabi Garlic Onion Shallot Leeks
Beets,Lettuce Garlic Kohlrabi Onion Shallot Broccoli Cauliflower Brussels Sprouts Beans (bush) Swiss Chard Cabbage Mint,Climbing Beans Tomato Mustard,Beets add many essential minerals to the soil. They grow especially well with kohlrabi. They become more flavorful when grown near garlic.
Borage,Strawberry Tomato Squash Beans (all) Cucumber Fruit Trees Cabbage,,>
