Day	Title	Start	Length	Type	URL
1	In the Beginning	09:00	00:50	Talk	http://scheduler.hope.net/hope2020/talk/GKK9K9/
1	Hacking a Human Mind in Conversation: Penetrating the Conscious Mind's Critical Factor to Elicit a Desired Response	10:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/8YEGKR/
1	Defend Your Own System Through Binary Recompilation	11:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/Q93HDU/
1	Resistance to NSA-Level Global Adversaries With the Nym MixNet	12:00	00:50	Talk	http://scheduler.hope.net/hope2020/talk/QMDUXG/
1	Hacktivism Rides Again	13:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/RCNY9M/
1	75,000 FOIA Requests Can't Be Wrong: Lessons From a Decade of Transparency Spelunking	14:00	00:50	Talk	http://scheduler.hope.net/hope2020/talk/JY7L9H/
1	Quantum Encryption	14:55	00:50	Talk	http://scheduler.hope.net/hope2020/talk/7MAZBA/
1	Keynote: Cory Doctorow	16:00	00:50	Talk	http://scheduler.hope.net/hope2020/talk/RQGRDT/
1	Boot Genie: Hacking and Cheating at Boot Sector Games	17:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/CQPFKP/
1	Advanced Wi-Fi Hacking With $5 Microcontrollers	18:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/ZMGTGH/
1	Hacking Society, Hacking Humanity	19:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/AKDQXV/
1	Portal to Tesla's Wardenclyffe Lab	20:00	00:50	Talk	http://scheduler.hope.net/hope2020/talk/JQVWCR/
1	Free as in Dirt: In Pursuit of Truly Open Source Physical Objects	21:00	00:50	Talk	http://scheduler.hope.net/hope2020/talk/SD98L3/
1	Hackers Got Talent (1)	22:00	02:00	Talk	http://scheduler.hope.net/hope2020/talk/UHSP9V/
1	Incident Response and the ATT&CK Matrix	09:00	04:00	Workshop	http://scheduler.hope.net/hope2020/talk/8KUWPC/
1	The HoneyDB Honeypot Workshop	13:00	03:00	Workshop	http://scheduler.hope.net/hope2020/talk/ZK73RG/
1	Four Steps to FOIA Mastery (1)	16:00	01:00	Workshop	http://scheduler.hope.net/hope2020/talk/YSMLZW/
1	How to Develop a Map Based UI Using Javascript	17:00	01:00	Workshop	http://scheduler.hope.net/hope2020/talk/NX3SFN/
1	Inventory Management Playground (1)	18:00	01:00	Workshop	http://scheduler.hope.net/hope2020/talk/AXW7WP/
1	Surveillance Capitalism, Predictive Analysis, and You (1)	19:00	02:00	Workshop	http://scheduler.hope.net/hope2020/talk/JMU9T9/
1	Using the ACTFOIA Methodology to Promote Transparency Around the World	21:30	02:00	Workshop	http://scheduler.hope.net/hope2020/talk/HWNDJR/
1	Demoscenes	00:00	03:00	Performance	http://scheduler.hope.net/hope2020/talk/EBXUAB/
1	RADIO STATLER! - All Day 1	10:00	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/TK9SEE/
1	Dim Sum Labs (DSL), the Hackerspace in Hong Kong - All Day 1	11:05	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/GPPSLZ/
1	Cyberpunk Now Film Festival - All Day 1	12:10	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/8RNRLT/
1	RF Village - All Day 1	13:15	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/QHQ38W/
1	Lockpicking Village: Lockpicking 101, Restraints 101, and Bypass 101 - All Day 1	14:20	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/BEGCLP/
1	Anarchist Hackers Village - All Day 1	15:25	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/VAADXV/
2	A Death Blow to the Web of Trust	09:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/JQBEQB/
2	Hunting Bugs in Your Sleep - How to Fuzz (Almost) Anything With AFL/AFL++	10:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/DXANHA/
2	Power to the People: Effective Advocacy for Privacy and Security	11:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/V3ZBJM/
2	Fight Back Against Stalkers Online: Tips for Everyone	12:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/SBWZJG/
2	Meet the EFA: A Discussion on Grassroots Organizing for Digital Privacy, Security, Free Expression, Creativity, and Access to Knowledge	13:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/7VQNDR/
2	Keynote: Richard Thieme	14:00	00:50	Talk	http://scheduler.hope.net/hope2020/talk/HDMNXH/
2	Librarians and Crisis Response: The Case of COVID-19 Maker Response	15:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/B9HMEN/
2	How Your Mobile Phone Is Tracking You - and How to Fight Back	16:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/SPFTCD/
2	The Election System - Can We Fix It? Yes, We Can!	17:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/DJQXX7/
2	Anatomy of an Accidental Honeypot	18:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/79JKLA/
2	One Ring to Surveil Them All: Hacking Amazon Ring to Map Neighborhood Surveillance	19:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/PXNVPL/
2	People Are Not Bots - or How Researchers Delegitimize Social Movements	20:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/TWJSC9/
2	Back Seat Webdriving via Browser Automation	21:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/7UEHAA/
2	Sex Work as Artistic Practice: A Discussion on Creativity, Digital Freedom and Mutual Aid in the Age of COVID	22:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/RPAMND/
2	A New Techno-Communication Style (and Meta Media)	23:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/BEPBV9/
2	Evolve Beyond Grade-Based Education and Support Virtual Learning Communities With a Spreadsheet	09:00	01:30	Workshop	http://scheduler.hope.net/hope2020/talk/VL73GA/
2	Mating Online (with Mate Tea) (1)	10:30	01:30	Workshop	http://scheduler.hope.net/hope2020/talk/V93J7E/
2	Securing Web Apps	12:00	04:00	Workshop	http://scheduler.hope.net/hope2020/talk/AQTNVJ/
2	How to Get Published in 2600 (Or Anything Else)	16:00	02:00	Workshop	http://scheduler.hope.net/hope2020/talk/D3LWRA/
2	Hands-On With Wi-Fi Hacking on the ESP8266	18:00	05:00	Workshop	http://scheduler.hope.net/hope2020/talk/KVTUF9/
2	Get BitCrushed with HangOnGetReady	00:00	00:30	Performance	http://scheduler.hope.net/hope2020/talk/XA7QHH/
2	Dim Sum Labs (DSL), the Hackerspace in Hong Kong - All Day 2	10:00	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/9YS7JZ/
2	Anarchist Hackers Village - All Day 2	11:05	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/PGA7SE/
2	RADIO STATLER! - All day 2	12:10	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/WTVAJM/
2	RF Village - All Day 2	13:15	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/ZKUXZR/
2	Lockpicking Village: Lockpicking 101, Restraints 101, and Bypass 101 - All Day 2	14:20	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/T7BNWD/
2	Cyberpunk Now Film Festival - All Day 2	15:25	01:00	Long-Running	http://scheduler.hope.net/hope2020/talk/LZLX8X/
3	Hacker:Hunter	09:00	00:50	Talk	http://scheduler.hope.net/hope2020/talk/Y9TB9V/
3	DHS BioWatch: A Failure of Oversight and Accountability	10:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/RTAANZ/
3	Solarpunk, Cyberpunk and Popculture: Technological Narratives tl;dr	11:00	01:00	Talk	http://scheduler.hope.net/hope2020/talk/N7ARAC/
