Name,Type,Family,Size,Source,Page #,Source Type,Ed.,CR,Notes
Krinth,Humanoid (extraplanar),,Medium,Anauroch: The Empire of Shade,150,Setting - Forgotten Realms,3.5,1,
Shadow sea serpent,Magical beast,,Huge,Anauroch: The Empire of Shade,151,Setting - Forgotten Realms,3.5,12,
Sharn,Aberration,,Large,Anauroch: The Empire of Shade,153,Setting - Forgotten Realms,3.5,8,
Veserab,Magical beast (extraplanar),,Large,Anauroch: The Empire of Shade,156,Setting - Forgotten Realms,3.5,4,
Climbdog,Animal,,Small,Arms and Equipment Guide,76,Supplement,3,1,
"Dragonfly, giant",Vermin,,Large,Arms and Equipment Guide,90,Supplement,3,1,
"Firefly, giant",Vermin,,Large,Arms and Equipment Guide,91,Supplement,3,1/2,
"Golem, equine golem",Construct,Golem,Large,Arms and Equipment Guide,87,Supplement,3,5,
Hippocampus,Magical beast (aquatic),,Large,Arms and Equipment Guide,84,Supplement,3,2,
Starwhale,Magical beast,,Colossal,Arms and Equipment Guide,89,Supplement,3,15,
Thudhunter,Beast,,Medium,Arms and Equipment Guide,77,Supplement,3,2,
Zaratan,Magical beast,,Colossal,Arms and Equipment Guide,88,Supplement,3,20,
Crystal screamer,Magical beast,,Gargantuan,Bastion of Broken Souls,41,Adventure,3,16,
"Soulmarauder, spiritovore energon",Outsider (incorporeal),,Huge,Bastion of Broken Souls,42,Adventure,3,20,
"Soulscaper, spiritovore energon",Outsider (incorporeal),,Large,Bastion of Broken Souls,42,Adventure,3,22,
"Soulsipper, spiritovore energon",Outsider (incorporeal),,Large,Bastion of Broken Souls,42,Adventure,3,16,
Aleax,Construct,,Varies,Book of Exalted Deeds,158,Supplement,3.5,Varies,
Archon,"Outsider (Archon, extraplanar, good, lawful)",Archon,Varies,Book of Exalted Deeds,159,Supplement,3.5,Varies,
"Archon, owl","Outsider (Archon, extraplanar, good, lawful)",Archon,Large,Book of Exalted Deeds,159,Supplement,3.5,11,
"Archon, sword","Outsider (Archon, extraplanar, good, lawful)",Archon,Large,Book of Exalted Deeds,160,Supplement,3.5,11,
"Archon, throne","Outsider (Archon, extraplanar, good, lawful)",Archon,Large,Book of Exalted Deeds,162,Supplement,3.5,15,
"Archon, warden","Outsider (Archon, extraplanar, good, lawful)",Archon,Large,Book of Exalted Deeds,163,Supplement,3.5,8,
Asura,"Outsider (chaotic, extraplanar, good)",,Medium,Book of Exalted Deeds,164,Supplement,3.5,8,
