Name,Source,Size,Environment,CR,Classify 1,Classify 2,Classify 3
"Zollrendar, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Yugoloth, Least Guardian -- Yagdoo",Wizard's Challenge II,,,,Yugoloth,Guardian,Least
"Lycanthrope, Giant Werebat (Shadkyn)",Dragon #266,,Hilly woodlands/caves,,Giant,Wood,Lycanthrope
Eurypterid (water scorpion),Dragon #176,Medium,Ocean bottoms,,Eurypterid,,
Vreesar,Villains' Lorebook,Huge,Baator (Caina),,Devil,Baatezu,Gelugon
"Verdantia, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Vandrillon, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Valdemari, Bronze Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Metallic,Bronze
"Turqual, Blue Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Blue
"Topaz, Yellow Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Faerûnian,Yellow
"Tarninia, Black Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Black
Brute,Seeds of Chaos,Medium,,,Human,Krynnish,Ithin'carthian
Stheno (glyptar/net),Dungeon #40,Tiny/Small,,,Medusa,Maedar,Glyptar
"Horse, Steppe",Horde Barbarian Campaign Setting,Medium,Steppe,,Horse,Faerûnian,Light
"Static, Blue Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Blue
Superheavy war horse (special),"Encyclopedia Magica, Volume I",,,,Horse,Warhorse,Superheavy
"Horse, Sosser",Horde Barbarian Campaign Setting,Medium,Temperate,,Horse,Faerûnian,Light
"Smolder, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Slivara, Silver Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Metallic,Silver
"Skie, Blue Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Blue
"Sikkin Wu, Shen Lung or Spirit Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Lung,Shen Lung
"Shonorr, Bronze Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Metallic,Bronze
"Horse, Semphari",Horde Barbarian Campaign Setting,Large,Arid,,Horse,Faerûnian,Light
"Jellyfish, Giant (Portugese Man-o-War), Sea Swarm",Monstrous Compendium Annual Volume Two,,,,Jellyfish,Man-O-War,Giant
"Sabrita, Shadow Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Planar,Shadow
