Name,Source,Entry,Size,Type,Subtypes,Classify 1,Classify 2,Classify 3,Classify 4
Beholder,Creature Codex,Class,,Aberration,,Beholder,,,
Bvanen,Life-Shaping Handbook,Class,Medium,Aberration,Psionic,Bvanen,,,
Half-Giant,Complete Psionic,Class,Medium,Giant,Psionic,Half-Giant,,,
Duergar,Complete Psionic,Class,Medium,Humanoid,"Dwarf, Psionic",Dwarf,Duergar,,
Githyanki,Complete Psionic,Class,Medium,Humanoid,"Extraplanar, Psionic",Githyanki,,,
Githzerai,Complete Psionic,Class,Medium,Humanoid,"Extraplanar, Psionic",Githzerai,,,
Lizardfolk,Dragon #318,Class,Medium,Humanoid,Reptilian,Lizardfolk,,,
Dark Creeper,Dragon #322,Class,Small,Humanoid,,Dark Ones,Dark Creeper,,
Dark Stalker,Dragon #322,Class,Medium,Humanoid,,Dark Ones,Dark Stalker,,
Drow,Drow of the Underdark,Class,Medium,Humanoid,Elf,Elf,Drow,,
Varag,Monster Manual IV,Class,Medium,Humanoid,Goblinoid,Varag,,,
Thri-kreen,Complete Psionic,Class,Medium,Monstrous Humanoid,Psionic,Thri-Kreen,,,
Segarran,Creature Catalogue,Class,Medium,Monstrous Humanoid,,Segarran,Greater,,
Carnivorous Ape,Frilond Campaign,Class,Large,Monstrous Humanoid,,Ape,Carnivorous,,
Feral Gargun,Races of Stone,Class,Medium,Monstrous Humanoid,,Feral Gargun,,,
Draegloth,Champions of Ruin,Class,Large,Outsider,Native,Draegloth,,,
Hollyphant,Dragon #312,Class,Small,Outsider,"Extraplanar, Good",Hollyphant,,,
Shade Creature,Dragon #322,Class,,Outsider,,Shade,,,
Avoral Guardinal,Planar Handbook,Class,Medium,Outsider,"Extraplanar, Good, Guardinal",Guardinal,Avoral,,
Chain Devil,Planar Handbook,Class,Medium,Outsider,"Evil, Extraplaner, Lawful",Devil,Kyton,,
Ghoul/Ghast,Libris Mortis: The Book of Undead,Class,,Undead,,Ghoul,Ghast,,
Mohrg,Libris Mortis: The Book of Undead,Class,,Undead,,Mohrg,,,
Mummy,Libris Mortis: The Book of Undead,Class,,Undead,,Mummy,,,
Vampire Spawn,Libris Mortis: The Book of Undead,Class,,Undead,,Vampire Spawn,,,
Wight,Libris Mortis: The Book of Undead,Class,,Undead,,Wight,,,
Avangion,Avangion Rules,Class,,,,Avangion,,,
Swanmay,Book of Exalted Deeds,Class,,,,Swanmay,,,
Werebear,Dragon #313,Class,,,,Lycanthrope,Werebear,,
Wereboar,Dragon #313,Class,,,,Lycanthrope,Wereboar,,
Wererat,Dragon #313,Class,,,,Lycanthrope,Wererat,,
Weretiger,Dragon #313,Class,,,,Lycanthrope,Weretiger,,
Werewolf,Dragon #313,Class,,,,Lycanthrope,Werewolf,,
,,,,,,,,,
Athasian Dragon,Dragon #339,Class,,,,Dragon,Athasian,,
Draconic,Races of the Dragon,Class,,,,Draconic,,,
Wonderseeker,Spelljammer: Beyond the Moons,Class,,,,Human,Wonderseeker,,
Ecology of the Dark Ones: Enigmas Wrapped in Shadows,Dragon #322,Ecology,,,,Dark Ones,,,
Ecology of the Fire Archon,Dragon #361,Ecology,,,,Archon,Fire,,
Murderoid,Spelljammer: Beyond the Moons,Hazard,Colossal,Aberration,,Murderoid,,,
Turbindus Leech,"Bestiary of Krynn, Revised",Hazard,Diminutive,Magical Beast,"Aquatic, Swarm",Leech,Turbidus,,
Black Slime,Creature Catalogue,Hazard,,Ooze,,Black Slime,,,
Shiver Sludge,Dragon #347,Hazard,,Ooze,,Shiver Sludge,,,
Shadow Slime,Dragons of Faerûn,Hazard,,Ooze,,Shadow Slime,,,
Violet Slime,Dungeon #126,Hazard,,Ooze,,Violet Slime,,,
Symbiotic Jelly,Tome of Horrors Revised,Hazard,,Ooze,,Symbiotic Jelly,,,
Hound of Ill Omen,Tome of Horrors Revised,Hazard,,Outsider,,Hound of Ill-Omen,,,
Black Mold,Cityscape: An Essential Guide to Urban Adventuring,Hazard,,Plant,,Black Mold,,,
Concussion Fungus,Dragon #316,Hazard,,Plant,,Fungus,Concussion,,
Frenzy Fungus,Dragon #316,Hazard,,Plant,,Fungus,Frenzy,,
Sluggard Fungus,Dragon #316,Hazard,,Plant,,Fungus,Sluggard,,
Adamant Algae,Dragon #347,Hazard,,Plant,,Adamant Algae,,,
Ash Willow,Dragon #347,Hazard,,Plant,,Ash Willow,,,
Brine Coral,Dragon #347,Hazard,,Plant,,Brine Coral,,,
Choke Mold,Dragon #347,Hazard,,Plant,,Choke Mold,,,
Darkshine,Dragon #347,Hazard,,Plant,,Darkshine,,,
Ember Root,Dragon #347,Hazard,,Plant,,Ember Root,,,
Entangle Weed,Dragon #347,Hazard,,Plant,,Entangle Weed,,,
Ripplewood,Dragon #347,Hazard,,Plant,,Ripplewood,,,
Sky Lotus,Dragon #347,Hazard,,Plant,,Sky Lotus,,,
Stoneshrooms,Dragon #347,Hazard,,Plant,,Stoneshroom,,,
Memory Hazard (Obliviax),Dragon #355,Hazard,,Plant,,Obliviax,,,
Dragon Mold,Dragons of Faerûn,Hazard,,Plant,,Dragon Mold,,,
Magic Shrieker Moss,Dragons of Faerûn,Hazard,,Plant,,Magic Shrieker Moss,,,
Cerebral Mold,Dungeon #100,Hazard,,Plant,,Cerebral Mold,,,
Choking Cinder Fungus,Dungeon #126,Hazard,,Plant,,Fungus,Choking Cinder,,
Scarlet Heart Mushroom,Dungeon #126,Hazard,,Plant,,Scarlet Heart Mushroom,,,
Spirit Moss,Dungeon #126,Hazard,,Plant,,Spirit Moss,,,
Torment Toadstool,Dungeon #126,Hazard,,Plant,,Torment Toadstool,,,
Cutedrop,Dungeon #136,Hazard,,Plant,,Cutedrop,,,
Floatbloat,Dungeon #136,Hazard,,Plant,,Floatbloat,,,
Stealstool,Dungeon #136,Hazard,,Plant,,Stealstool,,,
Brown Mold,Dungeon Master's Guide (Special Edition),Hazard,,Plant,,Brown Mold,,,
Phosphorescent Fungus,Dungeon Master's Guide (Special Edition),Hazard,,Plant,,Fungus,Phosphorescent,,
Yellow Mold,Dungeon Master's Guide (Special Edition),Hazard,,Plant,,Yellow Mold,,,
Bone Fungus,Dungeonscape,Hazard,,Plant,,Fungus,Bone,,
Gray Slime,Dungeonscape,Hazard,,Plant,,Gray Slime,,,
Viper Tree,Fiendish Codex I: Hordes of the Abyss,Hazard,,Plant,,Viper Tree,,,
Fungal Carapace,Frilond Campaign,Hazard,,Plant,,Carapace,,,
Shimmerweed,"Key of Destiny: Age of Mortals Campaign, Volume One",Hazard,,Plant,,Shimmerweed,,,
Brambletree,Terrors of Athas (preview),Hazard,,Plant,,Brambleweed,Brambletree,,
Brambleweed,Terrors of Athas (preview),Hazard,,Plant,,Brambleweed,,,
Memory Moss,Tome of Horrors Revised,Hazard,,Plant,,Obliviax,,,
Purple Moss,Tome of Horrors Revised,Hazard,,Plant,,Purple Moss,,,
