Name,Source,Size,Type,Subtypes,Environment,CR,Classify 1,Classify 2,Classify 3,Classify 4
Tiny Puzzle Piece,Dragon #302,Tiny,Construct,,Any,,Golem,Stone,Puzzle,Puzzle Piece
"Equine, Tharurr","Bestiary of the Realms, Volume 1",,Template,,,,Horse,Faerûnian,Warhorse,Heavy
Small Puzzle Piece,Dragon #302,Small,Construct,,Any,,Golem,Stone,Puzzle,Puzzle Piece
Shkiv (Ancient Brass Dragon),Creature Catalogue,Huge,Dragon,Fire,,19,Dragon,Metallic,Brass,Ancient
"Equine, Shad-Ir","Bestiary of the Realms, Volume 1",,Template,,,,Horse,Faerûnian,Warhorse,Light
"Equine, Raurin","Bestiary of the Realms, Volume 1",,Template,,,,Horse,Faerûnian,Warhorse,Light
"Equine, Meth","Bestiary of the Realms, Volume 1",,Template,,,,Horse,Faerûnian,Warhorse,Light
Medium Puzzle Piece,Dragon #302,Medium,Construct,,Any,,Golem,Stone,Puzzle,Puzzle Piece
"Equine, Dambraii","Bestiary of the Realms, Volume 1",,Template,,,,Horse,Faerûnian,Warhorse,Light
"Equine, Cormyrean Destrier","Bestiary of the Realms, Volume 1",,Template,,,,Horse,Faerûnian,Warhorse,Heavy
"Equine, Calimite","Bestiary of the Realms, Volume 1",,Template,,,,Horse,Faerûnian,Warhorse,Light
"Red Great Wyrm, Advanced",Epic Level Handbook,Colossal+,Dragon,Fire,,39,Dragon,Chromatic,Red,Great Wyrm
1st-Level Astral Construct,Psionics Handbook,Small,Construct,,Any land and underground,1/3,Astral Construct,1st-Level,,
1st-Level Astral Tasker,Expanding Your Mind: Astral Taskers,Small,Construct,,,1/3,Astral Tasker,1st-Level,,
2nd-Level Astral Construct,Psionics Handbook,Medium,Construct,,Any land and underground,1,Astral Construct,2nd-Level,,
2nd-Level Astral Tasker,Expanding Your Mind: Astral Taskers,Small,Construct,,,1/2,Astral Tasker,2nd-Level,,
3rd-Level Astral Construct,Psionics Handbook,Medium,Construct,,Any land and underground,2,Astral Construct,3rd-Level,,
3rd-Level Astral Tasker,Expanding Your Mind: Astral Taskers,Medium,Construct,,,1/2,Astral Tasker,3rd-Level,,
4th-Level Astral Construct,Psionics Handbook,Large,Construct,,Any land and underground,4,Astral Construct,4th-Level,,
4th-Level Astral Tasker,Expanding Your Mind: Astral Taskers,Medium,Construct,,,1,Astral Tasker,4th-Level,,
5th-Level Astral Construct,Psionics Handbook,Large,Construct,,Any land and underground,5,Astral Construct,5th-Level,,
5th-Level Astral Tasker,Expanding Your Mind: Astral Taskers,Large,Construct,,,2,Astral Tasker,5th-Level,,
6th-Level Astral Construct,Psionics Handbook,Large,Construct,,Any land and underground,7,Astral Construct,6th-Level,,
7th-Level Astral Construct,Psionics Handbook,Large,Construct,,Any land and underground,8,Astral Construct,7th-Level,,
8th-Level Astral Construct,Psionics Handbook,Large,Construct,,Any land and underground,9,Astral Construct,8th-Level,,
9th-Level Astral Construct,Psionics Handbook,Huge,Construct,,Any land and underground,10,Astral Construct,9th-Level,,
Aarakocra,Monsters of Faerûn,Medium,Monstrous Humanoid,,Warm and temperate mountains,1/2,Aarakocra,,,
Aartuk,Creature Catalogue,Medium,Plant,,Any temperate to tropical,3,Aartuk,,,
"Aartuk, Elder",Monsters of the Void,Large,Plant,,Any,5,Aartuk,Elder,,
"Aartuk, Lesser",Monsters of the Void,Medium,Plant,,Any,2,Aartuk,Lesser,,
Aasimar,Forgotten Realms Campaign Setting,Medium,Outsider,Native,,,Aasimar,,,
Aasimar Cleric,Battle Sheets!,Medium,Outsider,"Good, Lawful",,2,Aasimar,Cleric,,
Aballin,Monsters of Faerûn,Large,Ooze,,Warm and temperate land and underground,4,Aballin,,,
"Abeil, Queen",Monster Manual II,Medium,Monstrous Humanoid,,"Temperate or warm hills, plains, or desert",12,Abeil,Queen,,
"Abeil, Soldier",Monster Manual II,Large,Monstrous Humanoid,,"Temperate or warm hills, plains, or desert",6,Abeil,Soldier,,
"Abeil, Vassal",Monster Manual II,Medium,Monstrous Humanoid,,"Temperate or warm hills, plains, or desert",2,Abeil,Vassal,,
"Abishai, Black",Monsters of Faerûn,Medium,Outsider,"Baatezu, Evil, Lawful",Any land and underground,5,Devil,Baatezu,Abishai,Black
"Abishai, Blue",Monsters of Faerûn,Medium,Outsider,"Baatezu, Evil, Lawful",Any land and underground,7,Devil,Baatezu,Abishai,Blue
"Abishai, Green",Monsters of Faerûn,Medium,Outsider,"Baatezu, Evil, Lawful",Any land and underground,6,Devil,Baatezu,Abishai,Green
"Abishai, Red",Monsters of Faerûn,Medium,Outsider,"Baatezu, Evil, Lawful",Any land and underground,8,Devil,Baatezu,Abishai,Red
"Abishai, White",Monsters of Faerûn,Medium,Outsider,"Baatezu, Evil, Lawful",Any land and underground,5,Devil,Baatezu,Abishai,White
Aboleth,Monster Manual,Huge,Aberration,Aquatic,Any underground,7,Aboleth,,,
"Abomination, Anaxim",Epic Level Handbook,Medium,Construct,Lawful,Any,22,Abomination,Anaxim,,
"Abomination, Atropal",Epic Level Handbook,Large,Undead,Evil,Any,30,Abomination,Atropal,,
