File,Name,Type,Family,Size,Source,Page #,Source Type,Ed.,CR,Notes,Environment,Classify 1,Classify 2,Classify 3,Entry,Subtypes,Classify 4
D&D Monsters - 3 _ 3.5.csv,Krinth,Humanoid (extraplanar),,Medium,Anauroch: The Empire of Shade,150,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Shadow sea serpent,Magical beast,,Huge,Anauroch: The Empire of Shade,151,Setting - Forgotten Realms,3.5,12,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Sharn,Aberration,,Large,Anauroch: The Empire of Shade,153,Setting - Forgotten Realms,3.5,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Veserab,Magical beast (extraplanar),,Large,Anauroch: The Empire of Shade,156,Setting - Forgotten Realms,3.5,4,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Climbdog,Animal,,Small,Arms and Equipment Guide,76,Supplement,3,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Dragonfly, giant",Vermin,,Large,Arms and Equipment Guide,90,Supplement,3,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Firefly, giant",Vermin,,Large,Arms and Equipment Guide,91,Supplement,3,1/2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Golem, equine golem",Construct,Golem,Large,Arms and Equipment Guide,87,Supplement,3,5,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Hippocampus,Magical beast (aquatic),,Large,Arms and Equipment Guide,84,Supplement,3,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Starwhale,Magical beast,,Colossal,Arms and Equipment Guide,89,Supplement,3,15,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Thudhunter,Beast,,Medium,Arms and Equipment Guide,77,Supplement,3,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Zaratan,Magical beast,,Colossal,Arms and Equipment Guide,88,Supplement,3,20,,,,,,,,
