Suit	Card	Meaning
"The Major Arcana is a 22 card set within the tarot that is considered to be the core and the foundation for the deck. All of the deck is filled with archetypal significance, but this is most pronounced within the Major Arcana. These cards follow a storyline that tells of the spiritual travels taken from the innocent wonder of The Fool to the oneness and fulfillment of The World. In other words, these cards tell the story of humanity's spiritual evolution into enlightenment and individuation.
And so, as we follow the journey of the Fool, we can start seeing common parallels between our own stages in life and those in the cards, each card teaching a specific lesson and a concept to meditate over. Because they form the basis of the tarot, some readings can sometimes be conducted with only the Major Arcana as well."
Major Arcana	The World	Upright: fulfillment, harmony, completion, Reversed: incompletion, no closure
Major Arcana	Judgement	Upright: reflection, reckoning, awakening, Reversed: lack of self awareness, doubt, self loathing
Major Arcana	The Su	Upright: joy, success, celebration, positivity, Reversed: negativity, depression, sadness
Major Arcana	The Moo	Upright: unconscious, illusions, intuition, Reversed: confusion, fear, misinterpretation
Major Arcana	The Star	Upright: hope, faith, rejuvenation, Reversed: faithlessness, discouragement, insecurity
Major Arcana	The Tower	Upright: sudden upheaval, broken pride, disaster, Reversed: disaster avoided, delayed disaster, fear of suffering
Major Arcana	The Devil	Upright: addiction, materialism, playfulness, Reversed: freedom, release, restoring control
Major Arcana	Temperanc	Upright: middle path, patience, finding meaning, Reversed: extremes, excess, lack of balance
Major Arcana	Death	Upright: end of cycle, beginnings, change, metamorphosis, Reversed: fear of change, holding on, stagnation, decay
Major Arcana	The Hanged	Upright: sacrifice, release, martyrdom, Reversed: stalling, needless sacrifice, fear of sacrifice
Major Arcana	Justic	Upright: cause and effect, clarity, truth, Reversed: dishonesty, unaccountability, unfairness
Major Arcana	The Wheel of Fortu	Upright: change, cycles, inevitable fate, Reversed: no control, clinging to control, bad luck
Major Arcana	The Hermit	Upright: contemplation, search for truth, inner guidance, Reversed: loneliness, isolation, lost your way
Major Arcana	Strength	Upright: inner strength, bravery, compassion, focus, Reversed: self doubt, weakness, insecurity
Major Arcana	The Chariot	Upright: direction, control, willpower, Reversed: lack of control, lack of direction, aggression
Major Arcana	The Lovers	Upright: partnerships, duality, union, Reversed: loss of balance, one-sidedness, disharmony
Major Arcana	The Hierophant	Upright: tradition, conformity, morality, ethics, Reversed: rebellion, subversiveness, new approaches
Major Arcana	The Emperor	Upright: authority, structure, control, fatherhood, Reversed: tyranny, rigidity, coldness
Major Arcana	The Empress	Upright: motherhood, fertility, nature, Reversed: dependence, smothering, emptiness, nosiness
Major Arcana	The High Priestess	Upright: intuitive, unconscious, inner voice, Reversed: lack of center, lost inner voice, repressed feelings
Major Arcana	The Magic	Upright: willpower, desire, creation, manifestation, Reversed: trickery, illusions, out of touch
Major Arcana	The Fool	Upright: innocence, new beginnings, free spirit, Reversed: recklessness, taken advantage of, inconsideration
"Associated with the element of fire, the suit of wands represents passion, inspiration and willpower. The wands imbue their users with primal energy, for it is through them that the cycle of creation can begin. Because of their ability to bring energy into any situation, they are also associated with action, ambition and making plans. At their worst, they can refer to situations that are filled with recklessness and lack of direction. As you follow the journey within the wands, you'll come across these themes again and again.
Learn More about the Suit of Wands"
Wands	Seven of Wands	Upright: perseverance, defensive, maintaining control, Reversed: give up, destroyed confidence, overwhelmed
Wands	Four of Wands	Upright: community, home, celebration, Reversed: lack of support, transience, home conflicts
Wands	Ace of Wands	Upright: creation, willpower, inspiration, desire, Reversed: lack of energy, lack of passion, boredom
Wands	Ten of Wands	Upright: accomplishment, responsibility, burden, Reversed: inability to delegate, overstressed, burnt out
Wands	Nine of Wands	Upright: resilience, grit, last stand, Reversed: exhaustion, fatigue, questioning motivations
Wands	Eight of Wands	Upright: rapid action, movement, quick decisions, Reversed: panic, waiting, slowdown
Wands	Six of Wands	Upright: victory, success, public reward, Reversed: excess pride, lack of recognition, punishment
Wands	Five of Wands	Upright: competition, rivalry, conflict, Reversed: avoiding conflict, respecting differences
Wands	Three of Wands	Upright: looking ahead, expansion, rapid growth, Reversed: obstacles, delays, frustration
Wands	Two of Wands	Upright: planning, making decisions, leaving home, Reversed: fear of change, playing safe, bad planning
Wands	Page of Wands	Upright: exploration, excitement, freedom, Reversed: lack of direction, procrastination, creating conflict
Wands	Queen of Wands	Upright: courage, determination, joy, Reversed: selfishness, jealousy, insecurities
Wands	King of Wands	Upright: big picture, leader, overcoming challenges, Reversed: impulsive, overbearing, unachievable expectations
Wands	Knight of Wands	Upright: action, adventure, fearlessness, Reversed: anger, impulsiveness, recklessness
"The suit of cups rules over all that is associated with emotions, the unconscious, creativity, and intuition. They frequently talk about relationships, whether romantic or otherwise, and one's imagination and inner world. They are associated with the element of water, which becomes a frequent visual theme within this suit. At their worst, the cups suit is fret with uncontrolled feelings, fantasy, and a disconnect with one's inner voice.
Learn More about the Suit of Cups"
Cups	King of Cups	Upright: compassion, control, balance, Reversed: coldness, moodiness, bad advice
Cups	Queen of Cups	Upright: compassion, calm, comfort, Reversed: martyrdom, insecurity, dependence
Cups	Knight of Cups	Upright: following the heart, idealist, romantic, Reversed: moodiness, disappointment
Cups	Page of Cups	Upright: happy surprise, dreamer, sensitivity, Reversed: emotional immaturity, insecurity, disappointment
Cups	Ten of Cups	Upright: inner happiness, fulfillment, dreams coming true, Reversed: shattered dreams, broken family, domestic disharmony
Cups	Nine of Cups	Upright: satisfaction, emotional stability, luxury, Reversed: lack of inner joy, smugness, dissatisfaction
Cups	Eight of Cups	Upright: walking away, disillusionment, leaving behind, Reversed: avoidance, fear of change, fear of loss
Cups	Seven of Cups	Upright: searching for purpose, choices, daydreaming, Reversed: lack of purpose, diversion, confusion
Cups	Six of Cups	Upright: familiarity, happy memories, healing, Reversed: moving forward, leaving home, independence
Cups	Five of Cups	Upright: loss, grief, self-pity, Reversed: acceptance, moving on, finding peace
Cups	Four of Cups	Upright: apathy, contemplation, disconnectedness, Reversed: sudden awareness, choosing happiness, acceptance
Cups	Three of Cups	Upright: friendship, community, happiness, Reversed: overindulgence, gossip, isolation
Cups	Two of Cups	Upright: unity, partnership, connection, Reversed: imbalance, broken communication, tension
Cups	Ace of Cups	Upright: new feelings, spirituality, intuition, Reversed: emotional loss, blocked creativity, emptiness
